gid,nx,ny,dist_dfs_m
나나8491,48,36,1419.5928513704287
나나8492,48,36,1613.620010636903
나나8493,48,36,2278.6608378154165
나나8494,48,37,2700.957500797873
나나8567,48,31,1045.1244261669824
나나8568,48,31,2045.0190203554484
나나8569,48,32,2005.9298404715032
나나8570,48,32,1008.29501837336
나나8571,48,32,97.79142732897574
나나8572,48,32,1001.2329810995752
나나8573,48,32,1998.8426155213037
나나8574,48,33,2060.2309249323525
나나8575,48,33,1067.1761432974583
나나8576,48,33,182.14932774747723
나나8577,48,33,963.0637748220407
나나8578,48,33,1954.9438076707215
나나8579,48,34,2117.900017604382
나나8580,48,34,1131.1722123567295
나나8581,48,34,271.29442207202646
나나8582,48,34,931.4777253841189
나나8583,48,34,1913.5571176022286
나나8584,48,35,2178.734168185101
나나8585,48,35,1199.5839902494258
나나8586,48,35,362.1062326282791
나나8587,48,35,907.3257947142008
나나8588,48,35,1874.9291378074176
나나8589,48,36,2242.5391610218003
나나8590,48,36,1271.812707823827
나나8591,48,36,453.90884420551924
나나8592,48,36,891.380341893294
나나8593,48,36,1839.3163373872428
나나8594,48,37,2309.1309391477107
나나8667,48,31,1431.7239802765314
나나8668,48,31,2267.0799022406704
나나8669,48,32,2197.3393973362777
나나8670,48,32,1349.5201911304111
나나8671,48,32,902.2799263261736
나나8672,48,32,1344.2519795907572
나나8673,48,32,2190.8714484917123
나나8674,48,33,2212.67260275113
나나8675,48,33,1337.9960776254468
나나8676,48,33,827.3735314334758
나나8677,48,33,1256.5271255696478
나나8678,48,33,2114.9879134567036
나나8679,48,34,2232.379253203587
나나8680,48,34,1333.2543716685054
나나8681,48,34,756.0537738895019
나나8682,48,34,1168.6177298209777
나나8683,48,34,2039.5385477826383
나나8684,48,35,2256.407051095747
나나8685,48,35,1335.47443041045
나나8686,48,35,689.6456541772931
나나8687,48,35,1080.6157052213969
나나8688,48,35,1964.649962822041
나나8689,48,36,2284.681873675704
나나8690,48,36,1344.7293181038856
나나8691,48,36,629.9385795726095
나나8692,48,36,992.6471120694264
나나8693,48,36,1890.4692444378957
나나8694,48,37,2317.1102621891096
나나8695,48,37,1360.982928518876
나나8767,48,31,2237.7180441751107
나나8768,48,31,2845.5579018307776
나나8769,48,32,2762.760635537991
나나8770,48,32,2150.7558319020754
나나8771,48,32,1902.2762595488837
나나8772,48,32,2147.4541407969105
나나8773,48,32,2757.6191916231473
나나8774,48,33,2747.2329041934727
나나8775,48,33,2107.51087462412
나나8776,48,33,1826.4488888097974
나나8777,48,33,2056.7520512230353
나나8778,48,33,2669.1838559727926
나나8779,48,34,2735.2392538311833
나나8780,48,34,2067.7485014233102
나나8781,48,34,1752.037087101104
나나8782,48,34,1965.6256113556055
나나8783,48,34,2580.2585400413805
나나8784,48,35,2726.8778822770896
나나8785,48,35,2031.7436252877717
나나8786,48,35,1679.3157335483425
나나8787,48,35,1874.0919152988517
나나8788,48,35,2490.851196084188
나나8789,48,36,2722.2344937731377
나나8790,48,36,1999.771565492946
나나8791,48,36,1608.6056039999123
나나8792,48,36,1782.1721758252593
나나8793,48,36,2400.9713324718296
나나8794,48,37,2721.3809435937073
나나8795,48,37,1972.1026354459118
나나8870,49,32,2359.8190266690067
나나8871,49,32,2171.618483565701
나나8872,49,32,2421.3855202547425
나나8873,49,32,3001.7143163922956
나나8874,49,33,2992.5856765070926
나나8875,49,33,2450.3737375760957
나나8876,49,33,2247.908778480541
나나8877,49,33,2470.193575195497
나나8878,49,33,3024.9989622319454
나나8879,49,34,3083.8581836160315
나나8880,49,34,2541.4272598756284
나나8881,49,34,2325.4082948640053
나나8882,49,34,2521.149531147587
나나8883,49,34,3050.387873531671
나나8884,49,35,3175.7962145185684
나나8885,49,35,2632.9819494205294
나나8886,49,35,2404.0603769036657
나나8887,49,35,2574.1831025826536
나나8888,49,35,3077.877677141494
나나8889,49,36,3268.386918546169
나나8890,49,36,2725.040150798763
나나8891,49,36,2483.8145256051166
나나8892,49,36,2629.225241729699
나나8893,49,36,3107.4613667574727
나나8894,49,37,3361.618938984478
나나8895,48,37,2815.333564206133
나나8896,48,37,2531.6748689994415
나나8971,49,32,1172.6825563363084
나나8972,49,32,1588.1956357673935
나나8973,49,32,2381.08092617738
나나8974,49,33,2336.667696727242
나나8975,49,33,1583.9123547393103
나나8976,49,33,1248.0147315088311
나나8977,49,33,1614.4049035574358
나나8978,49,33,2378.038186236194
나나8979,49,34,2420.670973268092
나나8980,49,34,1675.8040402762092
나나8981,49,34,1325.515145892133
나나8982,49,34,1644.8895472258366
나나8983,49,34,2377.8841105394927
나나8984,49,35,2505.99253177264
나나8985,49,35,1768.3073599134593
나나8986,49,35,1404.9282077558166
나나8987,49,35,1679.5045753947304
나나8988,49,35,2380.6822485572693
나나8989,49,36,2592.556844609861
나나8990,49,36,1861.4085437310807
나나8991,49,36,1486.0459416911335
나나8992,49,36,1718.0871092463012
나나8993,49,36,2386.485719441861
나나8994,49,37,2680.2969217039417
나나8995,49,37,1955.0966864793368
나나8996,49,37,1568.698351649972
나나8997,49,37,1760.461866515772
나나8998,49,37,2395.33660441347
나나9072,49,32,1087.0248006562956
나나9073,49,32,2080.577784361112
나나9074,49,33,1991.0958838342704
나나9075,49,33,1006.5909006090842
나나9076,49,33,248.9732189538481
나나9077,49,33,1053.92129038343
나나9078,49,33,2039.4882958454818
나나9079,49,34,2051.612688835252
나나9080,49,34,1076.0045750707511
나나9081,49,34,326.27759064416824
나나9082,49,34,1027.1943763182987
나나9083,49,34,2000.9496513713968
나나9084,49,35,2115.2577957426424
나나9085,49,35,1149.446776616423
나나9086,49,35,410.04907279220544
나나9087,49,35,1007.4981845748456
나나9088,49,35,1965.1882713229977
나나9089,49,36,2181.822388679508
나나9090,49,36,1226.3114245104218
나나9091,49,36,497.3233194074096
나나9092,49,36,995.4000493108431
나나9093,49,36,1932.4368119836813
나나9094,49,37,2251.1111225464015
나나9095,49,37,1306.1059493926891
나나9096,49,37,586.7914587192239
나나9097,49,37,991.3302582957365
나나9098,49,37,1902.931198440855
나나9172,49,32,1356.7904985712141
나나9173,49,32,2233.396842602823
나나9174,49,33,2113.9795912721
나나9175,49,33,1231.9383648877033
나나9176,49,33,752.6184673853157
나나9177,49,33,1270.9040011018358
나나9178,49,33,2159.620198688623
나나9179,49,34,2135.0834384531518
나나9180,49,34,1227.7021258189254
나나9181,49,34,675.2212454623185
나나9182,49,34,1185.1560871493089
나나9183,49,34,2086.448219220989
나나9184,49,35,2160.7018571750705
나나9185,49,35,1231.0746790603978
나나9186,49,35,602.0441970881571
나나9187,49,35,1099.7134013329955
나나9188,49,35,2014.0213293049426
나나9189,49,36,2190.741171145709
나나9190,49,36,1242.1101614166503
나나9191,49,36,535.096652237819
나나9192,49,36,1014.8000795120909
나나9193,49,36,1942.5009589494082
나나9194,49,37,2225.0867361989767
나나9195,49,37,1260.7229864627175
나나9196,49,37,477.31950890606845
나나9197,49,37,930.7230407426193
나나9198,49,37,1872.0728734630084
나나9272,49,32,2121.352869464293
나나9273,49,32,2765.3786352540446
나나9274,49,33,2640.7113825649585
나나9275,49,33,2005.5221336538195
나나9276,49,33,1752.3930641105044
나나9277,49,33,2029.6905857075446
나나9278,49,33,2677.3879614798207
나나9279,49,34,2628.3165626164696
나나9280,49,34,1963.8531446896507
나나9281,49,34,1674.9299670406538
나나9282,49,34,1937.54009379785
나나9283,49,34,2588.9636605517576
나나9284,49,35,2619.7231702509284
나나9285,49,35,1926.1001631725796
나나9286,49,35,1598.991616112261
나나9287,49,35,1844.9082736605533
나나9288,49,35,2500.1197747398073
나나9289,49,36,2615.022910446979
나나9290,49,36,1892.573802075949
나나9291,49,36,1524.9020855274082
나나9292,49,36,1751.8039686527322
나나9293,49,36,2410.8728541192477
나나9294,49,37,2614.2916212934456
나나9295,49,37,1863.580464093775
나나9296,49,37,1453.046321057531
나나9297,49,37,1658.2385462066918
나나9298,49,37,2321.2424563393934
나나9372,50,32,2521.2558826651025
나나9373,50,32,3108.0166702339725
나나9374,50,33,2998.1099223345796
나나9375,50,33,2488.6639311101485
나나9376,50,33,2323.4098255831177
나나9377,50,33,2569.6338792177635
나나9378,50,33,3131.741261476
나나9379,50,34,3090.375404744146
나나9380,50,34,2579.7831506664324
나나9381,50,34,2400.0295970419415
나나9382,50,34,2620.1150793223155
나나9383,50,34,3157.5091434716487
나나9384,50,35,3183.2644089169044
나나9385,50,35,2671.4118681103355
나나9386,50,35,2477.8439097498485
나나9387,50,35,2672.635312400118
나나9388,50,35,3185.317658427765
나나9389,50,36,3276.7669860370042
나나9390,49,36,2760.5857239929956
나나9391,49,36,2522.7612478503697
나나9392,49,36,2666.0485906669405
나나9393,49,36,3138.678999505812
나나9394,49,37,3273.840310510213
나나9395,49,37,2712.2761370679914
나나9396,49,37,2448.4389534344778
나나9397,49,37,2575.5125264075455
나나9398,49,37,3044.942731591029
나나9399,49,38,3252.6326609994676
나나9471,50,32,1252.1317430463855
나나9472,50,32,1694.3642756276658
나나9473,50,32,2484.734733347234
나나9474,50,33,2312.2192977137584
나나9475,50,33,1597.2298320302755
나나9476,50,33,1325.1144071117103
나나9477,50,33,1720.672324279837
나나9478,50,33,2483.042146873495
나나9479,50,34,2398.2298615413115
나나9480,50,34,1690.079119746569
나나9481,50,34,1400.438643146574
나나9482,50,34,1751.0252298105522
나나9483,50,34,2484.1397540492717
나나9484,50,35,2485.45479858647
나나9485,50,35,1783.4670245956816
나나9486,50,35,1477.844274551225
나나9487,50,35,1785.2990706958594
나나9488,50,35,2488.0839704140135
나나9489,50,36,2573.825515015291
나나9490,50,36,1877.389711789255
나나9491,50,36,1557.114792852652
나나9492,50,36,1823.354278879717
나나9493,50,36,2494.9218774337182
나나9494,50,37,2663.2815660297215
나나9495,50,37,1971.8444313851087
나나9496,50,37,1638.0696637247142
나나9497,50,37,1865.039941890236
나나9498,50,37,2504.690748670716
나나9499,50,38,2753.7695861942034
나나9571,50,32,286.3092289715068
나나9572,50,32,1176.8642110172032
나나9573,50,32,2165.1895454560163
나나9574,50,33,1924.5916592978238
나나9575,50,33,953.3300114054458
나나9576,50,33,337.0803557816219
나나9577,50,33,1148.2195878234365
나나9578,50,33,2126.7800256418104
나나9579,50,34,1988.112872884578
나나9580,50,34,1028.325705962975
나나9581,50,34,402.88301001547654
나나9582,50,34,1125.6889810129662
나나9583,50,34,2090.941568812694
나나9584,50,35,2054.701636383232
나나9585,50,35,1106.827848655605
나나9586,50,35,477.84616621173956
나나9587,50,35,1109.7774689400214
나나9588,50,35,2057.8812168272934
나나9589,50,36,2124.135984984346
나나9590,50,36,1188.2626102397708
나나9591,50,36,558.5538282764238
나나9592,50,36,1100.9072291844868
나나9593,50,36,2027.809427796182
나나9594,50,37,2196.211074515413
나나9595,50,37,1272.1811370456967
나나9596,50,37,643.0758952764579
나나9597,50,37,1099.385450475107
나나9598,50,37,2000.937312947882
나나9599,50,38,2270.739036657862
나나9671,50,32,772.0829276989215
나나9672,50,32,1378.0959486998804
나나9673,50,32,2280.829857837254
나나9674,50,33,2015.3778874835348
나나9675,50,33,1125.4035209493316
나나9676,50,33,686.5261397592301
나나9677,50,33,1294.6440422680928
나나9678,50,33,2209.273240635441
나나9679,50,34,2038.057683646438
나나9680,50,34,1121.8467293196359
나나9681,50,34,602.8275427516928
나나9682,50,34,1211.7186177140813
나나9683,50,34,2138.486139943349
나나9684,50,35,2065.456867933909
나나9685,50,35,1126.6681611277636
나나9686,50,35,522.1591877030208
나나9687,50,35,1129.565973861793
나나9688,50,35,2068.6199170727336
나나9689,50,36,2097.4578860294455
나나9690,50,36,1139.8876838774622
나나9691,50,36,446.4955543383834
나나9692,50,36,1048.5097177577113
나나9693,50,36,1999.8467382329004
나나9694,50,37,2133.9206798038595
나나9695,50,37,1161.3437171334338
나나9696,50,37,379.23738074725304
나나9697,50,37,968.9802642916795
나나9698,50,37,1932.3624179272142
나나9699,50,38,2174.6872444918504
나나9772,50,32,2100.7825961943095
나나9773,50,32,2777.827192798679
나나9774,50,33,2533.661975022801
나나9775,50,33,1903.740544108886
나나9776,50,33,1681.96703739745
나나9777,50,33,2008.4317689429015
나나9778,50,33,2690.4615265984885
나나9779,50,34,2520.8660115942694
나나9780,50,34,1860.0070996171164
나나9781,50,34,1601.4016900331276
나나9782,50,34,1915.5543153499555
나나9783,50,34,2602.731122738328
나나9784,50,35,2512.0559969942497
나나9785,50,35,1820.355570771391
나나9786,50,35,1522.1575069755756
나나9787,50,35,1822.1505283718363
나나9788,50,35,2514.6573563906127
나나9789,50,36,2507.3303501191863
나나9790,50,36,1785.13860325108
나나9791,50,36,1444.5532807777054
나나9792,50,36,1728.2212037797842
나나9793,50,36,2426.2652116746144
나나9794,50,37,2506.7692058833386
나나9795,50,37,1754.706133002253
나나9796,50,37,1368.9760315018143
나나9797,50,37,1633.7677731113415
나나9798,50,37,2337.5839873869622
나나9799,50,38,2510.4329208543368
나나9872,51,32,2621.943888977907
나나9873,51,32,3214.8188748199323
나나9874,51,33,3006.8986147988817
나나9875,51,33,2530.5771608199652
