다사4622,269.7,629.3
다사5127,55.1,122.3
다사5228,94.2,219.7
다사6945,93.9,219.0
다사7046,103.2,240.7
다사7147,230.7,538.2
다사7248,22.1,31.9
다사7349,63.8,148.8
다사7450,80.0,115.7
다사8258,113.8,265.5
다사4621,157.8,368.3
다사4722,121.4,283.2
다사5025,175.2,408.8
다사5328,159.4,371.8
다사7045,149.1,347.8
다사7247,23.2,28.3
다사7348,81.9,190.9
다사7449,54.6,115.3
다사8358,142.6,332.7
다사8459,168.8,393.9
다사5125,115.0,268.4
다사5226,127.0,296.3
다사5327,109.1,254.4
다사6236,63.6,148.0
다사6640,104.6,244.2
다사7145,131.0,305.7
다사7347,118.4,276.3
다사7448,144.0,335.9
다사7549,359.4,838.4
다사8458,163.5,381.4
다사5124,149.0,347.6
다사6336,100.7,234.9
다사6639,161.9,377.7
다사7245,162.4,379.0
다사7346,154.9,361.5
다사7447,177.8,414.7
다사7548,187.0,436.2
다사8558,196.7,458.8
다사6436,21.5,34.0
다사6638,135.2,315.5
다사7244,248.1,578.7
다사7345,102.3,238.5
다사7547,79.1,184.4
다사8658,104.7,244.2
다사6132,28.3,48.5
다사6233,15.5,24.4
다사6435,78.1,182.3
다사6536,15.6,20.0
다사6637,253.6,591.7
다사7445,77.1,111.6
다사7546,74.5,173.6
다사8253,106.0,247.2
다사5222,47.3,98.5
다사5323,63.4,147.8
다사5424,18.1,37.9
다사6232,17.2,17.8
다사6333,33.9,53.5
다사6535,133.6,311.8
다사6636,100.7,235.0
다사8151,63.3,147.4
다사8353,61.8,144.1
다사5221,60.1,140.1
다사5322,196.3,458.0
다사5423,63.2,133.8
다사6332,23.8,31.0
다사6433,44.6,70.3
다사6635,44.6,96.8
다사6736,55.1,120.0
다사6837,41.0,64.7
다사6938,41.4,65.3
다사7039,13.5,21.2
다사8150,59.8,139.4
다사8352,106.5,248.2
다사5321,29.4,51.0
다사5422,33.6,72.0
다사5523,92.5,215.8
다사6331,278.6,649.9
다사6432,25.9,50.5
다사6533,64.9,138.6
다사6634,16.7,26.4
다사6836,21.6,34.0
다사6937,27.9,44.1
다사7038,27.4,43.2
다사7644,255.4,595.8
다사8250,90.5,211.1
다사8452,131.4,306.6
다사5320,14.9,26.8
다사5421,60.8,123.8
다사5522,20.8,35.8
다사5623,61.9,136.8
다사6431,23.4,41.4
다사6532,23.1,47.4
다사6633,48.1,98.5
다사6734,37.1,58.5
다사6936,114.4,266.9
다사8350,79.0,184.1
다사5319,18.0,32.7
다사5420,26.1,54.7
다사5521,35.5,58.3
다사5622,52.9,119.5
다사6531,10.1,11.7
다사6632,33.5,50.7
다사6733,23.1,36.5
다사6834,55.1,86.9
다사6935,14.6,18.4
다사7036,42.2,66.5
다사7137,27.2,42.9
다사5318,51.3,114.7
다사5419,51.2,118.1
다사5520,35.8,76.7
다사5621,44.1,93.4
다사5722,121.2,282.7
다사6530,19.4,30.6
다사6631,46.8,96.1
다사5418,26.9,50.2
다사5519,121.1,282.4
다사5620,59.3,133.0
다사5721,48.8,106.1
다사5822,36.0,78.0
다사6125,57.4,133.0
다사6529,13.2,13.9
다사6630,27.3,49.9
다사5417,34.3,75.9
다사5518,43.7,93.3
다사5619,36.9,78.7
다사5720,63.9,149.1
다사5821,43.9,98.5
다사5922,62.1,139.8
다사6124,41.0,83.0
다사6225,49.9,101.8
다사6326,27.1,46.3
다사6528,15.1,19.2
다사6730,26.1,54.7
다사5517,57.6,131.6
다사5618,45.0,102.9
다사5719,59.3,137.4
다사5820,35.8,68.5
다사5921,40.1,89.7
다사6224,61.6,139.5
다사6325,196.6,458.7
다사6426,64.0,149.4
다사6830,17.6,28.6
다사5617,63.7,148.6
다사5718,43.9,98.6
다사5819,60.3,140.6
다사5920,33.2,71.5
다사6021,31.7,69.3
다사6122,15.6,27.4
다사6223,41.4,91.1
다사6324,60.0,140.0
다사6425,32.9,71.1
다사6526,58.4,132.2
다사6930,22.8,47.6
다사5717,30.4,63.3
다사5818,42.4,92.1
다사5919,23.6,45.4
다사6222,26.6,54.9
다사6323,46.8,104.5
다사6424,25.1,46.6
다사6525,22.3,37.2
다사6626,92.7,216.2
다사5817,63.9,149.1
다사5918,32.9,70.8
다사6322,35.2,76.6
다사6423,45.2,99.7
다사6524,51.9,114.9
다사6625,54.3,120.8
다사5917,29.0,61.4
다사6018,15.5,26.8
다사6220,59.7,139.3
다사6422,59.9,133.7
다사6523,41.0,90.5
다사6624,25.3,48.3
다사6725,121.2,282.8
다사6118,26.1,54.6
다사6219,28.6,61.4
다사6421,35.1,73.4
다사6522,63.7,148.5
다사6319,63.8,148.9
다사6420,25.1,46.6
다사6521,27.3,42.2
다사6622,29.6,62.4
다사6723,34.6,72.2
다사6419,31.0,63.7
다사6520,50.8,113.8
다사6621,56.0,122.3
